module,revisions,code
src/code_maat/analysis/logical_coupling.clj,26,145
src/code_maat/app/app.clj,25,85
src/code_maat/core.clj,21,35
test/code_maat/end_to_end/scenario_tests.clj,20,91
project.clj,19,17
src/code_maat/parsers/svn.clj,19,53
src/code_maat/parsers/git.clj,14,31
src/code_maat/analysis/authors.clj,14,47
test/code_maat/analysis/logical_coupling_test.clj,13,89
README.md,11,87
test/code_maat/parsers/git_test.clj,10,37
test/code_maat/parsers/svn_test.clj,9,79
test/code_maat/analysis/authors_test.clj,8,26
src/code_maat/analysis/entities.clj,8,36
test/code_maat/analysis/test_data.clj,7,20
test/code_maat/analysis/entities_test.clj,5,21
src/code_maat/analysis/math.clj,4,5
src/code_maat/dataset/dataset.clj,4,27
test/code_maat/dataset/dataset_test.clj,3,25
src/code_maat/output/csv.clj,3,14
src/code_maat/output/filters.clj,3,5
src/code_maat/parsers/xml.clj,2,10
test/code_maat/end_to_end/simple.xml,2,31
src/code_maat/parsers/mercurial.clj,2,21
src/code_maat/parsers/hiccup_based_parser.clj,2,50
src/code_maat/analysis/summary.clj,2,18
src/code_maat/analysis/workarounds.clj,2,7
test/code_maat/parsers/mercurial_test.clj,2,26
doc/intro.md,1,2
test/code_maat/end_to_end/svn_live_data_test.clj,1,14
test/code_maat/end_to_end/mercurial_live_data_test.clj,1,11
test/code_maat/end_to_end/git_live_data_test.clj,1,11
test/code_maat/end_to_end/statsvn.log,1,9618
test/code_maat/end_to_end/empty.xml,1,3
src/code_maat/test/data_driven.clj,1,23
src/code_maat/parsers/limitters.clj,1,34
