rev,n,total,mean,sd
e75b8a77b1,3080,7610,2.47,1.76
23a62802c8,3092,7649,2.47,1.76
89911003e3,3100,7658,2.47,1.76
8373871c30,3101,7658,2.47,1.76
fa1183f3f9,3101,7658,2.47,1.76
5068b8e808,3101,7658,2.47,1.76
5671de517d,3105,7667,2.47,1.76
16d11f8422,3105,7667,2.47,1.76
ad2a9ef651,3165,7786,2.46,1.75
7f10972048,3165,7786,2.46,1.75
4ad49a02c9,3165,7786,2.46,1.75
8e30a2b86d,3168,7790,2.46,1.75
4e434f6197,3170,7794,2.46,1.75
4204f2c5fe,3168,7780,2.46,1.74
41397f22d1,3169,7788,2.46,1.75
12c7ab93c3,3159,7776,2.46,1.74
7b9b9b39c0,3163,7786,2.46,1.74
e7b188c924,3174,7819,2.46,1.74
7976e2396a,3174,7819,2.46,1.74
9ab924041d,3174,7819,2.46,1.74
4d68ddf7b0,3175,7819,2.46,1.74
2725a7d49e,3177,7825,2.46,1.74
0e2fd9f970,3176,7822,2.46,1.74
3335710a38,3215,7951,2.47,1.74
8515ce197a,3215,7951,2.47,1.74
394458f6a6,3220,7961,2.47,1.74
42f3422720,3219,7958,2.47,1.74
fbdca39506,3217,7951,2.47,1.74
b5457f37e2,3231,8025,2.48,1.74
d184cb3eb4,3247,8072,2.49,1.75
cf921df1d0,3249,8082,2.49,1.75
377c300071,3243,7873,2.43,1.65
04fe84994d,3280,7951,2.42,1.64
9030fa015e,3276,7919,2.42,1.64
8c95a6077a,3290,7950,2.42,1.64
14993a4637,3308,7991,2.42,1.63
a03d44f290,3309,7993,2.42,1.63
5ea40ce3f5,3319,8022,2.42,1.63
1825a4762c,3317,8022,2.42,1.63
580a71331c,3335,8072,2.42,1.63
