entity,coupled,degree,average-revs
Craft.Net.World/Chunk.cs,Craft.Net.World/Region.cs,93,8
Craft.Net.World/Region.cs,Craft.Net.World/World.cs,85,7
Craft.Net.World/Chunk.cs,Craft.Net.World/World.cs,80,8
source/Craft.Net.Logic/Block.cs,source/Craft.Net.Logic/Blocks/DirtBlock.cs,76,7
Craft.Net.World/Level.cs,Craft.Net.World/World.cs,76,7
source/Craft.Net.Anvil/Craft.Net.Anvil.csproj,source/Craft.Net.Entities/Craft.Net.Entities.csproj,71,7
source/Craft.Net.Server/MinecraftServer.cs,source/Craft.Net.Server/RemoteClient.cs,68,24
source/Craft.Net.Entities/Craft.Net.Entities.csproj,source/Craft.Net.Server/Craft.Net.Server.csproj,66,11
Craft.Net.Client/MinecraftClient.cs,TestClient/Program.cs,66,8
Craft.Net.World/Craft.Net.World.csproj,Craft.Net.World/Level.cs,66,8
Craft.Net.World/Craft.Net.World.csproj,Craft.Net.World/World.cs,62,8
source/Craft.Net.Server/EntityManager.cs,source/Craft.Net.Server/RemoteClient.cs,60,15
Craft.Net/PacketReader.cs,Craft.Net/Packets.cs,59,14
Craft.Net.Client/Handlers/LoginHandlers.cs,Craft.Net.Client/MinecraftClient.cs,58,9
source/Craft.Net.Server/Handlers/LoginHandlers.cs,source/Craft.Net.Server/Handlers/PacketHandlers.cs,58,9
source/Craft.Net.Server/RemoteClient.cs,source/Test/TestServer/Program.cs,55,18
source/Craft.Net.Anvil/Craft.Net.Anvil.csproj,source/Craft.Net.Common/Craft.Net.Common.csproj,55,9
source/Craft.Net.Logic/Blocks/AirBlock.cs,source/Craft.Net.Logic/Craft.Net.Logic.csproj,54,11
source/Craft.Net.Networking/NetworkManager.cs,source/Craft.Net.Networking/Packets.cs,48,25
source/Craft.Net.Server/Craft.Net.Server.csproj,source/Craft.Net.Server/MinecraftServer.cs,48,21
source/Craft.Net.Server/Handlers/LoginHandlers.cs,source/Craft.Net.Server/RemoteClient.cs,48,15
source/Craft.Net.Anvil/Craft.Net.Anvil.csproj,source/Craft.Net.Server/Craft.Net.Server.csproj,47,11
source/Craft.Net.Server/Handlers/PacketHandlers.cs,source/Craft.Net.Server/MinecraftServer.cs,45,18
source/Craft.Net.Server/Craft.Net.Server.csproj,source/Craft.Net.Server/Handlers/PacketHandlers.cs,45,11
source/Craft.Net.Server/Handlers/LoginHandlers.cs,source/Craft.Net.Server/MinecraftServer.cs,44,18
source/Craft.Net.Logic/Craft.Net.Logic.csproj,source/Craft.Net.Server/Handlers/InteractionHandlers.cs,44,14
source/Craft.Net.Server/EntityManager.cs,source/Craft.Net.Server/MinecraftServer.cs,43,19
source/Craft.Net.Server/Craft.Net.Server.csproj,source/Craft.Net.Server/Handlers/LoginHandlers.cs,43,12
source/Craft.Net.Logic/Block.cs,source/Craft.Net.Logic/Craft.Net.Logic.csproj,43,12
source/Craft.Net.Server/Handlers/PacketHandlers.cs,source/Craft.Net.Server/RemoteClient.cs,42,14
source/Craft.Net.Server/Craft.Net.Server.csproj,source/Craft.Net.Server/RemoteClient.cs,41,17
source/Craft.Net.Server/Craft.Net.Server.csproj,source/Craft.Net.Server/Handlers/InteractionHandlers.cs,38,13
source/Craft.Net.Server/EntityManager.cs,source/Test/TestServer/Program.cs,38,13
source/Craft.Net.Server/MinecraftServer.cs,source/Test/TestServer/Program.cs,37,22
Craft.Net.Server/MinecraftServer.cs,Craft.Net/Packets.cs,37,14
source/Craft.Net.Client/Handlers/LoginHandlers.cs,source/Craft.Net.Client/MinecraftClient.cs,36,17
source/Craft.Net.Server/Handlers/InteractionHandlers.cs,source/Craft.Net.Server/MinecraftServer.cs,35,20
source/Craft.Net.Anvil/Level.cs,source/Craft.Net.Server/RemoteClient.cs,35,14
source/Craft.Net.Anvil/Level.cs,source/Craft.Net.Server/MinecraftServer.cs,34,18
source/Craft.Net.Networking/Packets.cs,source/Craft.Net.Server/MinecraftServer.cs,31,29
source/Craft.Net.Server/Handlers/InteractionHandlers.cs,source/Craft.Net.Server/RemoteClient.cs,31,16
source/Craft.Net.Client/Handlers/EntityHandlers.cs,source/Craft.Net.Client/MinecraftClient.cs,31,16
source/Craft.Net.Client/MinecraftClient.Properties.cs,source/Craft.Net.Client/MinecraftClient.cs,30,20
