entity,n-authors,n-revs
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,14,44
libraries.gradle,11,28
hibernate-core/src/main/java/org/hibernate/internal/SessionImpl.java,10,39
hibernate-core/src/main/java/org/hibernate/loader/Loader.java,10,23
hibernate-core/src/main/java/org/hibernate/mapping/Table.java,9,28
build.gradle,8,79
hibernate-core/src/main/java/org/hibernate/cfg/Configuration.java,8,40
hibernate-core/src/main/java/org/hibernate/cfg/HbmBinder.java,8,20
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,7,33
hibernate-core/src/main/java/org/hibernate/cfg/AnnotationBinder.java,7,27
hibernate-core/hibernate-core.gradle,7,25
hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,7,21
hibernate-core/src/main/java/org/hibernate/persister/collection/AbstractCollectionPersister.java,7,18
hibernate-core/src/main/java/org/hibernate/dialect/PostgreSQL81Dialect.java,7,12
hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java,6,34
hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,6,31
hibernate-core/src/main/java/org/hibernate/cfg/AvailableSettings.java,6,21
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/InfinispanRegionFactory.java,6,20
hibernate-core/src/main/java/org/hibernate/internal/CoreMessageLogger.java,6,18
hibernate-core/src/main/java/org/hibernate/dialect/Oracle8iDialect.java,6,17
hibernate-core/src/main/java/org/hibernate/dialect/SQLServer2005Dialect.java,6,16
hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,6,15
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseCoreFunctionalTestCase.java,6,11
hibernate-core/src/main/java/org/hibernate/dialect/HSQLDialect.java,6,10
hibernate-core/src/main/java/org/hibernate/type/EntityType.java,6,7
hibernate-core/src/main/java/org/hibernate/loader/JoinWalker.java,6,7
hibernate-core/src/main/java/org/hibernate/dialect/SQLServerDialect.java,6,7
hibernate-core/src/main/java/org/hibernate/dialect/H2Dialect.java,6,6
hibernate-core/src/main/java/org/hibernate/engine/internal/NaturalIdXrefDelegate.java,5,16
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,5,14
hibernate-envers/src/main/java/org/hibernate/envers/strategy/ValidityAuditStrategy.java,5,13
hibernate-core/src/main/java/org/hibernate/cache/spi/NaturalIdCacheKey.java,5,12
hibernate-core/src/main/java/org/hibernate/dialect/DB2Dialect.java,5,11
hibernate-entitymanager/src/main/java/org/hibernate/ejb/EntityManagerFactoryImpl.java,5,11
hibernate-core/src/main/java/org/hibernate/collection/internal/AbstractPersistentCollection.java,5,11
hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/ejb3configuration/PersisterClassProviderTest.java,5,10
hibernate-core/src/main/java/org/hibernate/type/EnumType.java,5,10
hibernate-core/src/test/java/org/hibernate/test/hql/BulkManipulationTest.java,5,10
hibernate-core/src/main/java/org/hibernate/mapping/Collection.java,5,10
hibernate-core/src/main/java/org/hibernate/engine/jdbc/BlobProxy.java,5,10
hibernate-core/src/main/java/org/hibernate/mapping/PersistentClass.java,5,9
hibernate-core/src/test/java/org/hibernate/dialect/resolver/DialectFactoryTest.java,5,8
hibernate-core/src/main/java/org/hibernate/mapping/UniqueKey.java,5,8
hibernate-core/src/main/java/org/hibernate/internal/AbstractQueryImpl.java,5,8
hibernate-core/src/main/java/org/hibernate/dialect/MySQLDialect.java,5,8
hibernate-core/src/main/java/org/hibernate/persister/collection/OneToManyPersister.java,5,7
hibernate-core/src/main/java/org/hibernate/engine/internal/Cascade.java,5,7
hibernate-core/src/main/java/org/hibernate/cache/spi/CacheKey.java,5,7
hibernate-core/src/main/java/org/hibernate/engine/spi/ActionQueue.java,5,7
hibernate-core/src/main/java/org/hibernate/cache/internal/StandardQueryCache.java,5,6
hibernate-envers/src/main/java/org/hibernate/envers/configuration/AuditConfiguration.java,5,6
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractSaveEventListener.java,5,6
hibernate-core/src/main/java/org/hibernate/type/CollectionType.java,5,6
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaQueryTranslator.java,5,5
hibernate-core/src/main/java/org/hibernate/persister/entity/SingleTableEntityPersister.java,5,5
hibernate-envers/hibernate-envers.gradle,4,18
release/release.gradle,4,16
hibernate-infinispan/hibernate-infinispan.gradle,4,15
hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,4,15
changelog.txt,4,15
hibernate-core/src/main/java/org/hibernate/cfg/annotations/EntityBinder.java,4,13
documentation/src/main/docbook/devguide/en-US/Envers.xml,4,13
hibernate-core/src/main/java/org/hibernate/engine/spi/EntityEntry.java,4,12
hibernate-entitymanager/src/main/java/org/hibernate/ejb/AbstractEntityManagerImpl.java,4,12
hibernate-core/src/main/java/org/hibernate/mapping/SimpleValue.java,4,12
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultResolveNaturalIdEventListener.java,4,11
hibernate-core/src/main/java/org/hibernate/dialect/unique/DefaultUniqueDelegate.java,4,10
hibernate-core/src/main/java/org/hibernate/hql/internal/classic/QueryTranslatorImpl.java,4,10
hibernate-core/src/main/java/org/hibernate/cfg/annotations/reflection/JPAOverriddenAnnotationReader.java,4,9
hibernate-core/src/main/java/org/hibernate/action/internal/EntityInsertAction.java,4,9
hibernate-core/src/main/java/org/hibernate/cfg/annotations/QueryBinder.java,4,9
hibernate-core/src/main/java/org/hibernate/criterion/Restrictions.java,4,9
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/query/QueryResultsRegionImpl.java,4,9
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaLoader.java,4,8
hibernate-core/src/test/java/org/hibernate/test/annotations/embeddables/EmbeddableIntegratorTest.java,4,8
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/timestamp/TimestampsRegionImplTestCase.java,4,8
hibernate-core/src/main/java/org/hibernate/engine/jdbc/connections/internal/DriverManagerConnectionProviderImpl.java,4,8
hibernate-core/src/test/java/org/hibernate/sharedSession/SessionWithSharedConnectionTest.java,4,8
hibernate-core/src/main/java/org/hibernate/engine/transaction/internal/TransactionCoordinatorImpl.java,4,8
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/ToOneIdMapper.java,4,7
hibernate-core/src/main/java/org/hibernate/dialect/Oracle9Dialect.java,4,7
