entity,author,author-revs,total-revs
.gitignore,Galder Zamarreño,1,2
.gitignore,Strong Liu,1,2
CONTRIBUTING.md,Steve Ebersole,4,5
CONTRIBUTING.md,Strong Liu,1,5
README.md,Strong Liu,1,6
README.md,Hardy Ferentschik,4,6
README.md,Steve Ebersole,1,6
build.gradle,Steve Ebersole,48,79
build.gradle,Brett Meyer,8,79
build.gradle,Strong Liu,16,79
build.gradle,Gunnar Morling,1,79
build.gradle,brmeyer,2,79
build.gradle,Eric Dalquist,1,79
build.gradle,Gail Badner,2,79
build.gradle,Hardy Ferentschik,1,79
buildSrc/Readme.md,Steve Ebersole,7,7
buildSrc/build.gradle,Steve Ebersole,2,5
buildSrc/build.gradle,Strong Liu,3,5
buildSrc/src/main/groovy/hudson/util/DBAllocation.groovy,Steve Ebersole,1,1
buildSrc/src/main/groovy/hudson/util/DBAllocationHelper.groovy,Steve Ebersole,1,1
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/AbstractDatabaseProfileImpl.java,Steve Ebersole,4,5
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/AbstractDatabaseProfileImpl.java,Strong Liu,1,5
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/DatabaseAllocationCleanUp.java,Steve Ebersole,1,1
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/DatabaseProfile.java,Steve Ebersole,2,2
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/DatabaseProfilePlugin.java,Steve Ebersole,4,4
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/DuplicateDatabaseProfileException.java,Steve Ebersole,1,1
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/JdbcDirectoryProfile.groovy,Steve Ebersole,1,3
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/JdbcDirectoryProfile.groovy,Strong Liu,2,3
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/MatrixDotGradleProfile.java,Steve Ebersole,2,2
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/database/{JdbcDirectoryProfile.java => JdbcDirectoryProfile.groovy},Strong Liu,1,1
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/matrix/DatabaseAllocationCleanUp.java,Steve Ebersole,1,1
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/matrix/MatrixNode.java,Steve Ebersole,2,2
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/matrix/MatrixTestingPlugin.groovy,Steve Ebersole,6,7
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/matrix/MatrixTestingPlugin.groovy,Strong Liu,1,7
buildSrc/src/main/groovy/org/hibernate/build/gradle/testing/{matrix => database}/DatabaseAllocationCleanUp.java,Steve Ebersole,1,1
