entity,n-revs
src/code_maat/analysis/logical_coupling.clj,26
src/code_maat/app/app.clj,25
src/code_maat/core.clj,21
test/code_maat/end_to_end/scenario_tests.clj,20
project.clj,19
src/code_maat/parsers/svn.clj,19
src/code_maat/parsers/git.clj,14
src/code_maat/analysis/authors.clj,14
test/code_maat/analysis/logical_coupling_test.clj,13
README.md,11
test/code_maat/parsers/git_test.clj,10
test/code_maat/parsers/svn_test.clj,9
test/code_maat/analysis/authors_test.clj,8
src/code_maat/analysis/entities.clj,8
test/code_maat/analysis/test_data.clj,7
.gitignore,6
test/code_maat/analysis/entities_test.clj,5
src/code_maat/analysis/math.clj,4
src/code_maat/dataset/dataset.clj,4
src/code_maat/output/filters.clj,3
test/code_maat/dataset/dataset_test.clj,3
src/code_maat/output/csv.clj,3
src/code_maat/analysis/summary.clj,2
src/code_maat/analysis/workarounds.clj,2
src/code_maat/parsers/xml.clj,2
test/code_maat/end_to_end/simple.xml,2
test/code_maat/parsers/mercurial_test.clj,2
src/code_maat/parsers/mercurial.clj,2
test/code_maat/end_to_end/simple_git.txt,2
src/code_maat/parsers/hiccup_based_parser.clj,2
src/code_maat/parsers/limitters.clj,1
test/code_maat/end_to_end/tpp_hg.log,1
test/code_maat/end_to_end/svn_live_data_test.clj,1
test/code_maat/end_to_end/empty.hg,1
test/code_maat/end_to_end/empty.xml,1
test/code_maat/end_to_end/git_live_data_test.clj,1
test/code_maat/end_to_end/simple_hg.txt,1
src/code_maat/test/data_driven.clj,1
test/code_maat/end_to_end/mono_git.log,1
doc/imgs/tree_map_sample.png,1
doc/imgs/coupling_sample.png,1
doc/intro.md,1
test/code_maat/end_to_end/mercurial_live_data_test.clj,1
test/code_maat/end_to_end/empty.git,1
test/code_maat/end_to_end/statsvn.log,1
