module,revisions,code
build.gradle,79,380
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,44,3983
hibernate-core/src/main/java/org/hibernate/cfg/Configuration.java,40,2673
hibernate-core/src/main/java/org/hibernate/internal/SessionImpl.java,39,2097
hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java,34,1384
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,33,987
hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,31,1473
hibernate-core/src/main/java/org/hibernate/mapping/Table.java,28,654
libraries.gradle,28,59
hibernate-core/src/main/java/org/hibernate/cfg/AnnotationBinder.java,27,2723
hibernate-core/hibernate-core.gradle,25,118
hibernate-core/src/main/java/org/hibernate/loader/Loader.java,23,1853
hibernate-core/src/main/java/org/hibernate/cfg/AvailableSettings.java,21,126
hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,21,1303
hibernate-core/src/main/java/org/hibernate/cfg/HbmBinder.java,20,2555
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/InfinispanRegionFactory.java,20,450
hibernate-entitymanager/hibernate-entitymanager.gradle,19,95
hibernate-entitymanager/src/main/java/org/hibernate/jpa/boot/internal/EntityManagerFactoryBuilderImpl.java,19,1015
hibernate-envers/hibernate-envers.gradle,18,64
hibernate-core/src/main/java/org/hibernate/internal/CoreMessageLogger.java,18,1222
hibernate-core/src/main/java/org/hibernate/persister/collection/AbstractCollectionPersister.java,18,1651
hibernate-core/src/main/java/org/hibernate/dialect/Oracle8iDialect.java,17,437
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/AbstractEntityManagerImpl.java,17,1455
hibernate-core/src/main/java/org/hibernate/engine/internal/NaturalIdXrefDelegate.java,16,297
hibernate-core/src/main/java/org/hibernate/dialect/SQLServer2005Dialect.java,16,74
release/release.gradle,16,255
hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,15,519
hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,15,656
hibernate-infinispan/hibernate-infinispan.gradle,15,45
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,14,151
hibernate-core/src/main/java/org/hibernate/internal/AbstractSessionImpl.java,14,324
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/StoredProcedureQueryImpl.java,13,415
hibernate-envers/src/main/java/org/hibernate/envers/strategy/ValidityAuditStrategy.java,13,300
documentation/src/main/docbook/devguide/en-US/Envers.xml,13,1577
hibernate-core/src/main/java/org/hibernate/cfg/annotations/EntityBinder.java,13,872
hibernate-core/src/main/java/org/hibernate/dialect/PostgreSQL81Dialect.java,12,378
hibernate-entitymanager/src/main/java/org/hibernate/ejb/AbstractEntityManagerImpl.java,12,20
documentation/src/main/docbook/devguide/en-US/Hibernate_Development_Guide.xml,12,54
hibernate-core/src/main/java/org/hibernate/cache/spi/NaturalIdCacheKey.java,12,101
hibernate-core/src/main/java/org/hibernate/mapping/SimpleValue.java,12,386
hibernate-core/src/main/java/org/hibernate/engine/spi/EntityEntry.java,12,307
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/DataHelper.java,11,182
hibernate-core/src/main/java/org/hibernate/collection/internal/AbstractPersistentCollection.java,11,893
hibernate-core/src/main/java/org/hibernate/dialect/DB2Dialect.java,11,365
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseCoreFunctionalTestCase.java,11,442
hibernate-osgi/hibernate-osgi.gradle,11,97
hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityMetamodel.java,11,748
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CompositeFetch.java,11,56
hibernate-core/src/main/java/org/hibernate/engine/spi/PersistenceContext.java,11,163
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultResolveNaturalIdEventListener.java,11,79
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionFactoryImplementor.java,11,81
hibernate-entitymanager/src/main/java/org/hibernate/jpa/HibernatePersistenceProvider.java,10,120
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiPersistenceProvider.java,10,91
hibernate-core/src/main/java/org/hibernate/internal/util/StringHelper.java,10,542
hibernate-core/src/test/java/org/hibernate/test/hql/BulkManipulationTest.java,10,1119
hibernate-core/src/main/java/org/hibernate/cfg/annotations/SimpleValueBinder.java,10,657
hibernate-core/src/main/java/org/hibernate/dialect/unique/DefaultUniqueDelegate.java,10,94
hibernate-core/src/main/java/org/hibernate/engine/jdbc/BlobProxy.java,10,145
hibernate-core/src/main/java/org/hibernate/mapping/Collection.java,10,500
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityFetch.java,10,166
hibernate-core/src/main/java/org/hibernate/dialect/SybaseDialect.java,10,27
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityReturn.java,10,130
hibernate-core/src/main/java/org/hibernate/hql/internal/classic/QueryTranslatorImpl.java,10,935
hibernate-core/src/main/java/org/hibernate/dialect/HSQLDialect.java,10,476
hibernate-core/src/main/java/org/hibernate/type/EnumType.java,10,403
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcServicesImpl.java,9,394
hibernate-core/src/main/java/org/hibernate/dialect/CUBRIDDialect.java,9,299
hibernate-core/src/main/java/org/hibernate/cfg/SettingsFactory.java,9,360
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TransactionalAccessDelegate.java,9,112
hibernate-core/src/main/java/org/hibernate/cfg/annotations/reflection/JPAOverriddenAnnotationReader.java,9,2484
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CollectionFetch.java,9,68
hibernate-core/src/main/java/org/hibernate/cfg/annotations/QueryBinder.java,9,284
hibernate-core/src/main/java/org/hibernate/criterion/Restrictions.java,9,166
hibernate-core/src/main/java/org/hibernate/type/descriptor/sql/BlobTypeDescriptor.java,9,106
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/query/QueryResultsRegionImpl.java,9,61
